day_of_week,meal_time,venue_type,seating_capacity,portions,actual_waste_kg
thursday,breakfast,fastfood,38,41,7.1
wednesday,lunch,restaurant,88,12,3.9
saturday,lunch,restaurant,24,34,11.6
friday,breakfast,fastfood,28,30,4.9
friday,breakfast,restaurant,101,100,17.8
wednesday,breakfast,cafe,124,26,6.8
sunday,breakfast,fastfood,25,87,17.7
sunday,dinner,cafe,93,49,14.6
sunday,lunch,restaurant,16,76,18.2
tuesday,lunch,restaurant,158,59,14.6
saturday,lunch,fastfood,94,18,7.1
sunday,breakfast,fastfood,31,84,15.9
wednesday,breakfast,cafe,195,44,7.1
tuesday,breakfast,cafe,107,50,9.0
thursday,lunch,restaurant,72,52,10.1
saturday,breakfast,restaurant,101,81,18.7
monday,breakfast,restaurant,135,24,5.4
saturday,lunch,fastfood,157,84,16.9
tuesday,lunch,cafe,83,63,14.2
tuesday,breakfast,restaurant,36,11,4.6
monday,lunch,fastfood,196,61,10.6
tuesday,breakfast,cafe,46,41,8.7
friday,dinner,cafe,91,87,19.8
monday,lunch,cafe,64,66,11.0
saturday,dinner,cafe,151,57,15.0
wednesday,dinner,restaurant,196,49,12.5
thursday,breakfast,restaurant,199,93,14.9
wednesday,lunch,restaurant,152,52,10.1
friday,lunch,fastfood,38,78,15.6
tuesday,lunch,restaurant,50,14,7.6
friday,breakfast,fastfood,33,46,5.7
monday,breakfast,cafe,100,71,11.8
monday,breakfast,fastfood,43,84,11.5
monday,dinner,fastfood,102,98,18.0
thursday,dinner,cafe,149,46,10.4
tuesday,breakfast,fastfood,129,28,3.1
wednesday,breakfast,cafe,70,33,5.0
friday,lunch,restaurant,35,69,12.4
wednesday,breakfast,fastfood,133,20,1.4
saturday,dinner,fastfood,136,23,8.9
thursday,breakfast,restaurant,183,33,5.0
thursday,lunch,cafe,174,44,11.1
saturday,dinner,cafe,194,13,8.7
thursday,lunch,restaurant,80,12,5.1
tuesday,breakfast,restaurant,20,75,11.9
wednesday,dinner,cafe,99,72,14.8
sunday,dinner,restaurant,70,41,16.9
monday,dinner,restaurant,69,86,20.0
monday,breakfast,restaurant,169,13,2.5
tuesday,dinner,fastfood,81,54,11.5
friday,dinner,restaurant,30,57,14.6
friday,lunch,cafe,176,38,8.5
wednesday,breakfast,cafe,30,22,3.9
thursday,dinner,fastfood,135,10,4.5
saturday,breakfast,fastfood,61,99,19.8
thursday,lunch,restaurant,89,13,6.7
monday,dinner,fastfood,165,11,4.9
monday,lunch,restaurant,36,99,19.2
sunday,breakfast,cafe,68,92,19.2
monday,lunch,cafe,86,89,16.3
tuesday,lunch,restaurant,61,76,14.0
monday,dinner,restaurant,137,20,10.2
wednesday,dinner,fastfood,96,28,7.0
saturday,dinner,fastfood,35,33,11.1
tuesday,dinner,fastfood,18,23,6.8
friday,lunch,restaurant,13,57,11.5
monday,lunch,cafe,60,24,5.7
thursday,breakfast,fastfood,39,22,3.1
friday,dinner,fastfood,86,78,17.7
monday,breakfast,fastfood,19,27,5.2
wednesday,dinner,cafe,61,24,8.5
thursday,breakfast,fastfood,63,79,13.8
tuesday,lunch,fastfood,176,72,13.1
friday,breakfast,restaurant,129,27,4.8
friday,dinner,restaurant,128,16,9.3
friday,breakfast,restaurant,144,94,16.2
sunday,breakfast,cafe,148,15,5.0
thursday,dinner,fastfood,151,29,9.4
tuesday,lunch,fastfood,95,30,8.5
tuesday,dinner,restaurant,84,87,20.8
wednesday,breakfast,cafe,136,87,14.2
thursday,lunch,fastfood,67,41,9.1
friday,lunch,fastfood,12,33,8.4
saturday,dinner,cafe,53,70,20.4
thursday,dinner,restaurant,106,33,11.8
tuesday,dinner,restaurant,104,83,16.9
monday,lunch,restaurant,133,12,4.5
friday,lunch,fastfood,188,75,12.8
thursday,lunch,cafe,102,78,14.7
wednesday,breakfast,fastfood,149,68,9.5
friday,lunch,fastfood,27,73,13.5
saturday,lunch,fastfood,131,25,10.2
monday,lunch,cafe,18,60,11.1
friday,breakfast,cafe,191,67,10.0
sunday,dinner,cafe,150,44,16.0
thursday,breakfast,cafe,69,36,7.0
monday,dinner,cafe,125,68,17.0
thursday,breakfast,restaurant,47,76,12.3
monday,breakfast,cafe,14,37,4.8
wednesday,lunch,fastfood,43,49,10.1
tuesday,dinner,cafe,14,10,6.3
wednesday,dinner,restaurant,82,34,12.5
monday,dinner,fastfood,131,62,11.4
wednesday,breakfast,restaurant,121,80,12.2
thursday,lunch,restaurant,166,78,15.4
wednesday,dinner,cafe,71,70,17.0
wednesday,lunch,fastfood,97,57,9.4
tuesday,lunch,restaurant,102,87,17.9
saturday,lunch,cafe,65,94,18.1
thursday,breakfast,restaurant,105,51,9.0
monday,breakfast,cafe,18,93,13.4
wednesday,dinner,restaurant,159,29,11.7
sunday,dinner,restaurant,155,30,14.2
tuesday,lunch,fastfood,70,97,17.1
sunday,dinner,cafe,160,99,21.4
thursday,lunch,restaurant,118,46,10.0
thursday,dinner,cafe,70,48,12.6
tuesday,dinner,cafe,100,29,11.0
sunday,dinner,restaurant,159,81,22.3
friday,lunch,fastfood,96,100,17.1
saturday,dinner,restaurant,92,40,14.2
tuesday,dinner,restaurant,133,81,18.7
monday,breakfast,cafe,60,18,2.7
friday,breakfast,cafe,157,27,4.9
sunday,dinner,cafe,102,62,16.9
tuesday,dinner,cafe,193,12,7.8
saturday,dinner,restaurant,72,47,15.6
monday,lunch,cafe,44,67,12.4
friday,dinner,cafe,50,41,12.5
wednesday,breakfast,cafe,60,26,3.1
wednesday,dinner,restaurant,36,61,14.0
wednesday,dinner,restaurant,166,60,15.0
monday,lunch,fastfood,58,94,15.5
monday,lunch,restaurant,147,93,17.5
friday,dinner,fastfood,12,66,12.4
saturday,breakfast,fastfood,10,22,6.1
tuesday,lunch,fastfood,100,88,15.4
thursday,lunch,cafe,86,21,7.4
friday,dinner,fastfood,200,88,16.7
monday,breakfast,fastfood,77,58,9.7
sunday,lunch,fastfood,37,42,12.6
friday,breakfast,restaurant,126,16,3.6
wednesday,lunch,fastfood,16,11,5.5
wednesday,lunch,restaurant,129,42,10.0
thursday,lunch,fastfood,26,64,13.4
thursday,breakfast,fastfood,10,78,10.9
saturday,lunch,fastfood,181,93,19.9
friday,breakfast,fastfood,85,43,6.2
saturday,dinner,restaurant,136,73,20.6
saturday,lunch,cafe,148,71,15.5
monday,lunch,cafe,52,12,4.5
saturday,breakfast,fastfood,96,27,8.8
saturday,lunch,fastfood,129,41,12.2
tuesday,lunch,fastfood,134,50,8.2
monday,lunch,restaurant,109,91,17.8
wednesday,breakfast,fastfood,44,32,4.5
tuesday,lunch,restaurant,137,18,5.3
