date,day_of_week,meal_period,portions_sold,prepared_quantity
2026-04-01,wednesday,dinner,62,80
2026-04-02,thursday,dinner,65,80
2026-04-03,friday,dinner,78,95
2026-04-04,saturday,dinner,92,110
2026-04-05,sunday,dinner,85,100
2026-04-06,monday,dinner,45,60
2026-04-07,tuesday,dinner,48,60
2026-04-08,wednesday,dinner,55,70
2026-04-09,thursday,dinner,58,70
2026-04-10,friday,dinner,82,100
2026-04-11,saturday,dinner,95,115
2026-04-12,sunday,dinner,88,105
2026-04-13,monday,dinner,42,55
2026-04-14,tuesday,dinner,50,65
2026-04-15,wednesday,dinner,52,65
2026-04-16,thursday,dinner,60,75
2026-04-17,friday,dinner,80,95
2026-04-18,saturday,dinner,98,115
2026-04-19,sunday,dinner,90,110
2026-04-20,monday,dinner,44,60
2026-04-21,tuesday,dinner,46,60
2026-04-22,wednesday,dinner,54,65
2026-04-23,thursday,dinner,59,70
2026-04-24,friday,dinner,85,100
2026-04-25,saturday,dinner,96,115
2026-04-26,sunday,dinner,87,105
2026-04-27,monday,dinner,43,55
2026-04-28,tuesday,dinner,49,60
2026-04-29,wednesday,dinner,53,65
2026-04-30,thursday,dinner,61,75
2026-05-01,friday,dinner,79,95
2026-05-02,saturday,dinner,94,110
2026-05-03,sunday,dinner,86,100
2026-05-04,monday,dinner,41,55
2026-05-05,tuesday,dinner,47,60
2026-05-06,wednesday,dinner,56,70
2026-05-07,thursday,dinner,63,75
2026-05-08,friday,dinner,83,100
2026-05-09,saturday,dinner,97,115
2026-05-10,sunday,dinner,89,105
2026-05-11,monday,dinner,42,55
2026-05-12,tuesday,dinner,48,60
2026-05-13,wednesday,dinner,55,65
2026-05-14,thursday,dinner,62,75
2026-05-15,friday,dinner,84,100
2026-05-16,saturday,dinner,99,120
2026-05-17,sunday,dinner,91,110
2026-05-18,monday,dinner,44,60
2026-05-19,tuesday,dinner,50,65
2026-05-20,wednesday,dinner,57,70
2026-05-21,thursday,dinner,64,75
2026-05-22,friday,dinner,86,105
2026-05-23,saturday,dinner,100,120
