date,day_of_week,meal_period,portions_sold,prepared_quantity
2026-05-24,sunday,dinner,92,110
2026-05-25,monday,dinner,46,60
2026-05-26,tuesday,dinner,51,65
2026-05-27,wednesday,dinner,58,70
2026-05-28,thursday,dinner,62,75
2026-05-29,friday,dinner,81,95
2026-05-30,saturday,dinner,99,120
2026-05-31,sunday,dinner,90,110
2026-06-01,monday,dinner,43,55
2026-06-02,tuesday,dinner,49,60
2026-06-03,wednesday,dinner,56,70
2026-06-04,thursday,dinner,63,80
2026-06-05,friday,dinner,85,100
2026-06-06,saturday,dinner,101,125
2026-06-07,sunday,dinner,93,115
2026-06-08,monday,dinner,45,60
2026-06-09,tuesday,dinner,52,65
2026-06-10,wednesday,dinner,59,75
2026-06-11,thursday,dinner,66,80
2026-06-12,friday,dinner,87,105
2026-06-13,saturday,dinner,102,125
2026-06-14,sunday,dinner,95,115
2026-06-15,monday,dinner,44,55
2026-06-16,tuesday,dinner,50,65
2026-06-17,wednesday,dinner,57,70
2026-06-18,thursday,dinner,64,80
2026-06-19,friday,dinner,88,105
2026-06-20,saturday,dinner,104,125
2026-06-21,sunday,dinner,96,115
2026-06-22,monday,dinner,46,60
2026-06-23,tuesday,dinner,53,70
2026-06-24,wednesday,dinner,60,75
2026-06-25,thursday,dinner,67,85
2026-06-26,friday,dinner,89,105
2026-06-27,saturday,dinner,105,130
2026-06-28,sunday,dinner,97,120
2026-06-29,monday,dinner,47,60
2026-06-30,tuesday,dinner,54,70
2026-07-01,wednesday,dinner,61,75
2026-07-02,thursday,dinner,68,85
2026-07-03,friday,dinner,90,110
2026-07-04,saturday,dinner,106,130
2026-07-05,sunday,dinner,98,120
2026-07-06,monday,dinner,48,65
2026-07-07,tuesday,dinner,55,70
2026-07-08,wednesday,dinner,62,80
2026-07-09,thursday,dinner,69,85
2026-07-10,friday,dinner,91,110
2026-07-11,saturday,dinner,107,130
2026-07-12,sunday,dinner,99,120
2026-07-13,monday,dinner,49,65
2026-07-14,tuesday,dinner,56,70
2026-07-15,wednesday,dinner,63,80
2026-07-16,thursday,dinner,70,85
2026-07-17,friday,dinner,92,110
2026-07-18,saturday,dinner,108,135
2026-07-19,sunday,dinner,100,125
2026-07-20,monday,dinner,50,65
2026-07-21,tuesday,dinner,57,75
2026-07-22,wednesday,dinner,64,80
2026-07-23,thursday,dinner,71,90
2026-07-24,friday,dinner,93,115
2026-07-25,saturday,dinner,109,135
2026-07-26,sunday,dinner,101,125
2026-07-27,monday,dinner,51,65
2026-07-28,tuesday,dinner,58,75
2026-07-29,wednesday,dinner,65,85
2026-07-30,thursday,dinner,72,90
2026-07-31,friday,dinner,94,115
